Kategori: Tüm kategoriler

Hafta,Depresyon: (Türkiye)
2020-05-31,68
2020-06-07,71
2020-06-14,65
2020-06-21,69
2020-06-28,66
2020-07-05,61
2020-07-12,64
2020-07-19,55
2020-07-26,65
2020-08-02,64
2020-08-09,61
2020-08-16,63
2020-08-23,71
2020-08-30,59
2020-09-06,57
2020-09-13,71
2020-09-20,63
2020-09-27,61
2020-10-04,61
2020-10-11,62
2020-10-18,65
2020-10-25,59
2020-11-01,60
2020-11-08,65
2020-11-15,70
2020-11-22,78
2020-11-29,66
2020-12-06,75
2020-12-13,72
2020-12-20,75
2020-12-27,69
2021-01-03,82
2021-01-10,77
2021-01-17,68
2021-01-24,70
2021-01-31,67
2021-02-07,68
2021-02-14,63
2021-02-21,69
2021-02-28,71
2021-03-07,67
2021-03-14,69
2021-03-21,61
2021-03-28,66
2021-04-04,86
2021-04-11,97
2021-04-18,92
2021-04-25,67
2021-05-02,68
2021-05-09,67
2021-05-16,69
2021-05-23,74
2021-05-30,89
2021-06-06,73
2021-06-13,73
2021-06-20,71
2021-06-27,60
2021-07-04,67
2021-07-11,63
2021-07-18,65
2021-07-25,61
2021-08-01,58
2021-08-08,60
2021-08-15,61
2021-08-22,60
2021-08-29,58
2021-09-05,66
2021-09-12,59
2021-09-19,63
2021-09-26,61
2021-10-03,64
2021-10-10,64
2021-10-17,68
2021-10-24,68
2021-10-31,72
2021-11-07,68
2021-11-14,61
2021-11-21,60
2021-11-28,61
2021-12-05,66
2021-12-12,54
2021-12-19,51
2021-12-26,57
2022-01-02,77
2022-01-09,72
2022-01-16,63
2022-01-23,68
2022-01-30,68
2022-02-06,66
2022-02-13,77
2022-02-20,79
2022-02-27,79
2022-03-06,74
2022-03-13,72
2022-03-20,81
2022-03-27,83
2022-04-03,79
2022-04-10,86
2022-04-17,84
2022-04-24,71
2022-05-01,69
2022-05-08,76
2022-05-15,74
2022-05-22,80
2022-05-29,83
2022-06-05,71
2022-06-12,74
2022-06-19,69
2022-06-26,69
2022-07-03,65
2022-07-10,67
2022-07-17,78
2022-07-24,74
2022-07-31,74
2022-08-07,75
2022-08-14,78
2022-08-21,70
2022-08-28,68
2022-09-04,79
2022-09-11,70
2022-09-18,74
2022-09-25,64
2022-10-02,76
2022-10-09,79
2022-10-16,76
2022-10-23,78
2022-10-30,83
2022-11-06,77
2022-11-13,78
2022-11-20,80
2022-11-27,78
2022-12-04,81
2022-12-11,87
2022-12-18,93
2022-12-25,76
2023-01-01,80
2023-01-08,91
2023-01-15,92
2023-01-22,99
2023-01-29,93
2023-02-05,61
2023-02-12,75
2023-02-19,83
2023-02-26,83
2023-03-05,85
2023-03-12,80
2023-03-19,81
2023-03-26,85
2023-04-02,80
2023-04-09,84
2023-04-16,73
2023-04-23,89
2023-04-30,85
2023-05-07,78
2023-05-14,70
2023-05-21,90
2023-05-28,76
2023-06-04,88
2023-06-11,100
2023-06-18,83
2023-06-25,81
2023-07-02,72
2023-07-09,73
2023-07-16,62
2023-07-23,71
2023-07-30,64
2023-08-06,64
2023-08-13,60
2023-08-20,64
2023-08-27,73
2023-09-03,71
2023-09-10,76
2023-09-17,72
2023-09-24,70
2023-10-01,75
2023-10-08,81
2023-10-15,72
2023-10-22,76
2023-10-29,74
2023-11-05,76
2023-11-12,76
2023-11-19,78
2023-11-26,76
2023-12-03,81
2023-12-10,84
2023-12-17,79
2023-12-24,77
2023-12-31,72
2024-01-07,76
2024-01-14,68
2024-01-21,64
2024-01-28,62
2024-02-04,67
2024-02-11,69
2024-02-18,72
2024-02-25,67
2024-03-03,66
2024-03-10,60
2024-03-17,64
2024-03-24,59
2024-03-31,54
2024-04-07,56
2024-04-14,70
2024-04-21,74
2024-04-28,71
2024-05-05,71
2024-05-12,65
2024-05-19,65
2024-05-26,66
2024-06-02,63
2024-06-09,56
2024-06-16,56
2024-06-23,66
2024-06-30,56
2024-07-07,62
2024-07-14,57
2024-07-21,60
2024-07-28,62
2024-08-04,57
2024-08-11,62
2024-08-18,60
2024-08-25,60
2024-09-01,57
2024-09-08,56
2024-09-15,53
2024-09-22,64
2024-09-29,65
2024-10-06,61
2024-10-13,62
2024-10-20,58
2024-10-27,60
2024-11-03,65
2024-11-10,61
2024-11-17,64
2024-11-24,65
2024-12-01,62
2024-12-08,65
2024-12-15,65
2024-12-22,62
2024-12-29,57
2025-01-05,65
2025-01-12,64
2025-01-19,62
2025-01-26,63
2025-02-02,63
2025-02-09,61
2025-02-16,52
2025-02-23,65
2025-03-02,54
2025-03-09,61
2025-03-16,60
2025-03-23,49
2025-03-30,47
2025-04-06,61
2025-04-13,61
2025-04-20,58
2025-04-27,58
2025-05-04,53
